1004740,82.66.191.65,20.157.222.42,1,82.66.191.65,192.168.3.1,0.203
1004740,82.66.191.65,20.157.222.42,2,192.168.3.1,194.149.162.248,7.273
1004740,82.66.191.65,20.157.222.42,3,194.149.162.248,194.149.162.250,7.494
1004740,82.66.191.65,20.157.222.42,4,194.149.162.250,212.27.35.12,7.694
1004740,82.66.191.65,20.157.222.42,5,212.27.35.12,*,
1004740,82.66.191.65,20.157.222.42,6,212.27.35.12,*,
1004740,82.66.191.65,20.157.222.42,7,212.27.35.12,171.75.9.205,8.136
1004740,82.66.191.65,20.157.222.42,8,171.75.9.205,94.142.107.172,7.876
1004740,82.66.191.65,20.157.222.42,9,94.142.107.172,213.140.35.53,218.666
1004740,82.66.191.65,20.157.222.42,10,213.140.35.53,94.142.99.160,218.671
1004740,82.66.191.65,20.157.222.42,11,94.142.99.160,84.16.12.143,219.218
1004740,82.66.191.65,20.157.222.42,12,84.16.12.143,213.140.50.187,218.125
1004740,82.66.191.65,20.157.222.42,13,213.140.50.187,104.44.235.64,203.052
1004740,82.66.191.65,20.157.222.42,14,104.44.235.64,104.44.34.12,204.417
1004740,82.66.191.65,20.157.222.42,15,104.44.34.12,51.10.37.109,205.83
1004740,82.66.191.65,20.157.222.42,16,51.10.37.109,51.10.8.138,204.003
1004740,82.66.191.65,20.157.222.42,17,51.10.8.138,*,
1004740,82.66.191.65,20.157.222.42,18,51.10.8.138,*,
1004740,82.66.191.65,20.157.222.42,19,51.10.8.138,*,
1004740,82.66.191.65,20.157.222.42,20,51.10.8.138,*,
1004740,82.66.191.65,20.157.222.42,21,51.10.8.138,20.157.222.42,204.305
1005729,220.153.210.199,20.157.222.42,1,220.153.210.199,172.18.0.1,0.099
1005729,220.153.210.199,20.157.222.42,2,172.18.0.1,192.168.11.1,8.731
1005729,220.153.210.199,20.157.222.42,3,192.168.11.1,139.101.134.1,9.361
1005729,220.153.210.199,20.157.222.42,4,139.101.134.1,194.223.254.62,9.468
1005729,220.153.210.199,20.157.222.42,5,194.223.254.62,61.86.1.81,11.415
1005729,220.153.210.199,20.157.222.42,6,61.86.1.81,61.86.1.93,13.714
1005729,220.153.210.199,20.157.222.42,7,61.86.1.93,210.57.79.218,17.054
1005729,220.153.210.199,20.157.222.42,8,210.57.79.218,202.84.140.213,118.113
1005729,220.153.210.199,20.157.222.42,9,202.84.140.213,202.84.249.10,259.018
1005729,220.153.210.199,20.157.222.42,10,202.84.249.10,202.84.178.14,268.497
1005729,220.153.210.199,20.157.222.42,11,202.84.178.14,134.159.95.18,265.494
1005729,220.153.210.199,20.157.222.42,12,134.159.95.18,176.52.248.132,362.06
1005729,220.153.210.199,20.157.222.42,13,176.52.248.132,213.140.36.233,287.005
1005729,220.153.210.199,20.157.222.42,14,213.140.36.233,94.142.99.176,372.116
1005729,220.153.210.199,20.157.222.42,15,94.142.99.176,213.140.36.3,372.977
1005729,220.153.210.199,20.157.222.42,16,213.140.36.3,213.140.50.187,367.753
1005729,220.153.210.199,20.157.222.42,17,213.140.50.187,104.44.235.64,406.969
1005729,220.153.210.199,20.157.222.42,18,104.44.235.64,104.44.34.12,360.701
1005729,220.153.210.199,20.157.222.42,19,104.44.34.12,104.44.16.196,363.471
1005729,220.153.210.199,20.157.222.42,20,104.44.16.196,51.10.37.111,362.637
1005729,220.153.210.199,20.157.222.42,21,51.10.37.111,51.10.8.86,360.45
1005729,220.153.210.199,20.157.222.42,22,51.10.8.86,*,
1005729,220.153.210.199,20.157.222.42,23,51.10.8.86,*,
1005729,220.153.210.199,20.157.222.42,24,51.10.8.86,*,
1005729,220.153.210.199,20.157.222.42,25,51.10.8.86,*,
